,genes,pathway,count
463,GNAS,homotypic cell-cell adhesion (GO:0034109),5
464,SLIT1,motor neuron axon guidance (GO:0008045),5
465,SLIT1,axon extension (GO:0048675),5
466,SLIT1,regulation of synapse assembly (GO:0051963),5
467,SLIT1,cell morphogenesis involved in neuron differentiation (GO:0048667),5
468,DAPK3,regulation of actin cytoskeleton organization (GO:0032956),5
469,SRCIN1,positive regulation of protein tyrosine kinase activity (GO:0061098),5
470,GNAS,bone development (GO:0060348),5
471,GNAS,platelet aggregation (GO:0070527),5
472,GNAS,skeletal system development (GO:0001501),5
473,GNAS,dopamine receptor signaling pathway (GO:0007212),5
474,GBE1,cellular glucan metabolic process (GO:0006073),5
475,GBE1,glycogen biosynthetic process (GO:0005978),5
476,GBE1,glucan biosynthetic process (GO:0009250),5
477,GBE1,energy reserve metabolic process (GO:0006112),5
478,GBE1,glycogen metabolic process (GO:0005977),5
479,DAPK3,peptidyl-serine modification (GO:0018209),5
480,DAPK3,peptidyl-threonine phosphorylation (GO:0018107),5
481,DAPK3,peptidyl-threonine modification (GO:0018210),5
482,SLIT1,axon development (GO:0061564),5
483,SRCIN1,regulation of dendritic spine development (GO:0060998),5
484,SYT7,regulation of calcium ion-dependent exocytosis (GO:0017158),5
485,SYT7,synaptic vesicle recycling (GO:0036465),5
486,SRCIN1,regulation of protein tyrosine kinase activity (GO:0061097),5
487,SYT7,synaptic vesicle cycle (GO:0099504),5
488,SYT7,calcium ion regulated exocytosis (GO:0017156),5
489,DAPK3,peptidyl-serine phosphorylation (GO:0018105),5
490,SRCIN1,negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),5
491,SYT7,plasma membrane organization (GO:0007009),5
492,RPP38,ribosome biogenesis (GO:0042254),4
493,ARPP19,positive regulation of glucose transport (GO:0010828),4
494,ARPP19,positive regulation of glucose metabolic process (GO:0010907),4
495,TSHR,cellular response to peptide hormone stimulus (GO:0071375),4
496,TSHR,regulation of adenylate cyclase activity (GO:0045761),4
497,TSHR,activation of adenylate cyclase activity (GO:0007190),4
498,TUBB4A,negative regulation of protein polymerization (GO:0032272),4
499,TUBB4A,regulation of microtubule polymerization (GO:0031113),4
500,ARPP19,regulation of glucose import (GO:0046324),4
501,ARPP19,positive regulation of glucose import (GO:0046326),4
502,CFTR,bicarbonate transport (GO:0015701),4
503,CFTR,positive regulation of insulin secretion (GO:0032024),4
504,RPP38,rRNA metabolic process (GO:0016072),4
505,RPP38,rRNA processing (GO:0006364),4
506,ATP8B1,organic hydroxy compound transport (GO:0015850),4
507,ATP8B1,phospholipid transport (GO:0015914),4
508,ATP8B1,lipid transport (GO:0006869),4
509,TUBB4A,negative regulation of microtubule polymerization (GO:0031115),4
510,TUBB4A,negative regulation of microtubule polymerization or depolymerization (GO:0031111),4
511,CFTR,response to cAMP (GO:0051591),4
512,CFTR,cellular response to cAMP (GO:0071320),4
513,ATP8B1,phospholipid translocation (GO:0045332),4
514,RPP38,ncRNA processing (GO:0034470),4
515,PPP2R1A,second-messenger-mediated signaling (GO:0019932),4
516,TSHR,positive regulation of adenylate cyclase activity (GO:0045762),4
517,RAB11A,renal water homeostasis (GO:0003091),4
518,TAF7,DNA-templated transcriptional preinitiation complex assembly (GO:0070897),4
519,TAF7,ammonium transport (GO:0015696),4
520,NRXN2,protein localization to synapse (GO:0035418),4
521,NRXN2,postsynaptic density assembly (GO:0097107),4
522,NRXN2,receptor clustering (GO:0043113),4
523,NRXN2,synapse assembly (GO:0007416),4
524,RAB11A,astral microtubule organization (GO:0030953),4
525,RAB11A,pigment granule transport (GO:0051904),4
526,TAF7,"regulation of DNA-templated transcription, initiation (GO:2000142)",4
527,RAB11A,melanosome transport (GO:0032402),4
528,PPP1R9B,second-messenger-mediated signaling (GO:0019932),4
529,PPP1R9B,calcium-mediated signaling (GO:0019722),4
530,PPP1R9B,negative regulation of cell growth (GO:0030308),4
531,PPP1R9B,cellular response to ammonium ion (GO:0071242),4
532,PPP2R1A,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",4
533,PPP2R1A,negative regulation of cell growth (GO:0030308),4
534,DDX56,rRNA processing (GO:0006364),4
535,TAF7,regulation of transcription initiation from RNA polymerase II promoter (GO:0060260),4
536,MAP2K2,positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800),4
537,HSPA8,cellular response to unfolded protein (GO:0034620),4
538,DDX56,ncRNA processing (GO:0034470),4
539,PPP2R1A,negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),4
540,DDX56,ribosome biogenesis (GO:0042254),4
541,HSPA8,negative regulation of cellular component organization (GO:0051129),4
542,HSPA8,regulation of protein transport (GO:0051223),4
543,MAP2K2,regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798),4
544,DDX56,rRNA metabolic process (GO:0016072),4
545,HSPA8,cellular response to topologically incorrect protein (GO:0035967),4
546,MAP2K2,ERK1 and ERK2 cascade (GO:0070371),4
547,MAP2K2,peptidyl-serine phosphorylation (GO:0018105),4
548,SLC6A8,amino acid transport (GO:0006865),3
549,SMOC1,eye development (GO:0001654),3
550,SEMA3B,semaphorin-plexin signaling pathway (GO:0071526),3
551,SEMA3B,neural crest cell development (GO:0014032),3
552,SEMA3B,regulation of axon extension involved in axon guidance (GO:0048841),3
553,SMOC1,sensory organ development (GO:0007423),3
554,SMOC1,regulation of ossification (GO:0030278),3
555,SLC6A8,creatine metabolic process (GO:0006600),3
556,SLC6A8,muscle contraction (GO:0006936),3
557,IL18,positive regulation of smooth muscle cell proliferation (GO:0048661),3
558,GPSM2,establishment of mitotic spindle orientation (GO:0000132),3
559,COX7C,mitochondrial ATP synthesis coupled electron transport (GO:0042775),3
560,RND3,regulation of actin cytoskeleton organization (GO:0032956),3
561,FGF1,regulation of endothelial cell chemotaxis (GO:2001026),3
562,FGF1,regulation of cholesterol biosynthetic process (GO:0045540),3
563,FGF1,positive regulation of cell division (GO:0051781),3
564,EEF1D,translation (GO:0006412),3
565,EEF1D,translational elongation (GO:0006414),3
566,EEF1D,cellular macromolecule biosynthetic process (GO:0034645),3
567,DNAJB2,negative regulation of inclusion body assembly (GO:0090084),3
568,DNAJB2,negative regulation of cellular component organization (GO:0051129),3
569,DNAJB2,negative regulation of cell growth (GO:0030308),3
570,COX7C,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",3
571,COX7C,respiratory electron transport chain (GO:0022904),3
572,GPSM2,regulation of protein localization to cell cortex (GO:1904776),3
573,BCAR1,B cell receptor signaling pathway (GO:0050853),3
574,CHAC2,nonribosomal peptide biosynthetic process (GO:0019184),3
575,CHAC2,glutathione biosynthetic process (GO:0006750),3
576,CHAC2,sulfur compound catabolic process (GO:0044273),3
577,CARM1,peptidyl-arginine methylation (GO:0018216),3
578,CARM1,"peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)",3
579,CARM1,histone arginine methylation (GO:0034969),3
580,BCAR1,vascular endothelial growth factor receptor signaling pathway (GO:0048010),3
581,BCAR1,neurotrophin signaling pathway (GO:0038179),3
582,CACNA1A,response to amyloid-beta (GO:1904645),3
583,CACNA1A,cellular response to peptide (GO:1901653),3
584,GPSM2,positive regulation of cytoskeleton organization (GO:0051495),3
585,GYS1,glucan biosynthetic process (GO:0009250),3
586,TF,response to iron ion (GO:0010039),3
587,GYS1,glycogen metabolic process (GO:0005977),3
588,RND3,regulation of actin filament-based process (GO:0032970),3
589,RND3,regulation of cytoskeleton organization (GO:0051493),3
590,PPA2,translation (GO:0006412),3
591,PPA2,tRNA aminoacylation for protein translation (GO:0006418),3
592,PPA2,tRNA aminoacylation (GO:0043039),3
593,PDE5A,purine ribonucleotide catabolic process (GO:0009154),3
594,PDE5A,cyclic nucleotide catabolic process (GO:0009214),3
595,PDE5A,cGMP metabolic process (GO:0046068),3
596,PDE4A,cAMP metabolic process (GO:0046058),3
597,PDE4A,purine ribonucleotide catabolic process (GO:0009154),3
598,PDE4A,cyclic nucleotide catabolic process (GO:0009214),3
599,CACNA1A,cellular response to amyloid-beta (GO:1904646),3
600,TF,positive regulation of endocytosis (GO:0045807),3
601,TF,retina homeostasis (GO:0001895),3
602,LARP1,cellular response to alcohol (GO:0097306),3
603,LARP1,TORC1 signaling (GO:0038202),3
604,LARP1,positive regulation of autophagy (GO:0010508),3
605,IL18,cholesterol homeostasis (GO:0042632),3
606,IL18,sterol homeostasis (GO:0055092),3
607,HMGN1,"regulation of DNA-templated transcription, elongation (GO:0032784)",3
608,HMGN1,transcription-coupled nucleotide-excision repair (GO:0006283),3
609,HMGN1,nucleotide-excision repair (GO:0006289),3
610,GYS1,glycogen biosynthetic process (GO:0005978),3
611,ZER1,regulation of ubiquitin-protein transferase activity (GO:0051438),2
612,VRK2,peptidyl-serine modification (GO:0018209),2
613,SUMO3,nucleotide-excision repair (GO:0006289),2
614,VRK2,peptidyl-serine phosphorylation (GO:0018105),2
615,UBTF,positive regulation of transcription from RNA polymerase I promoter (GO:0045943),2
616,UBTF,termination of RNA polymerase I transcription (GO:0006363),2
617,SUMO3,negative regulation of DNA binding (GO:0043392),2
618,ACAP3,regulation of ARF protein signal transduction (GO:0032012),2
619,MAST3,peptidyl-serine modification (GO:0018209),2
620,SLC7A5,amino acid transport (GO:0006865),2
621,LRFN4,axon development (GO:0061564),2
622,JUND,response to purine-containing compound (GO:0014074),2
623,JUND,response to cAMP (GO:0051591),2
624,HHIP,skeletal system development (GO:0001501),2
625,HHIP,skeletal system morphogenesis (GO:0048705),2
626,GRIK5,modulation of chemical synaptic transmission (GO:0050804),2
627,GNAO1,dopamine receptor signaling pathway (GO:0007212),2
628,GNAO1,muscle contraction (GO:0006936),2
629,GIT1,regulation of Ras protein signal transduction (GO:0046578),2
630,GIT1,regulation of ARF protein signal transduction (GO:0032012),2
631,FN1,endoderm formation (GO:0001706),2
632,FN1,extracellular matrix disassembly (GO:0022617),2
633,DUOX1,response to purine-containing compound (GO:0014074),2
634,DUOX1,response to cAMP (GO:0051591),2
635,DOCK5,positive regulation of cell morphogenesis involved in differentiation (GO:0010770),2
636,DOCK5,regulation of vascular associated smooth muscle cell migration (GO:1904752),2
637,DOCK2,positive regulation of endocytosis (GO:0045807),2
638,DOCK2,positive regulation of phagocytosis (GO:0050766),2
639,DNAJB6,negative regulation of cellular component organization (GO:0051129),2
640,DNAJB6,negative regulation of inclusion body assembly (GO:0090084),2
641,CRYAB,muscle contraction (GO:0006936),2
642,CRYAB,negative regulation of transport (GO:0051051),2
643,CAPZB,regulation of lamellipodium organization (GO:1902743),2
644,CAPZB,regulation of filopodium assembly (GO:0051489),2
645,BSG,pyruvate metabolic process (GO:0006090),2
646,BSG,extracellular matrix disassembly (GO:0022617),2
647,AGAP3,regulation of Ras protein signal transduction (GO:0046578),2
648,AGAP3,regulation of ARF protein signal transduction (GO:0032012),2
649,ACTN4,vesicle transport along actin filament (GO:0030050),2
650,ACTN4,actin filament-based transport (GO:0099515),2
651,LRFN4,cell morphogenesis involved in neuron differentiation (GO:0048667),2
652,GRIK5,"synaptic transmission, glutamatergic (GO:0035249)",2
653,ZER1,regulation of transferase activity (GO:0051338),2
654,METAP1D,peptidyl-methionine modification (GO:0018206),2
655,PLP1,gliogenesis (GO:0042063),2
656,PLP1,axon development (GO:0061564),2
657,SGTA,positive regulation of ERAD pathway (GO:1904294),2
658,SGTA,negative regulation of ERAD pathway (GO:1904293),2
659,NTNG2,axon development (GO:0061564),2
660,NTNG2,cell morphogenesis involved in neuron differentiation (GO:0048667),2
661,SLC17A7,"synaptic transmission, glutamatergic (GO:0035249)",2
662,METAP1D,N-terminal protein amino acid modification (GO:0031365),2
663,SLC17A7,synaptic vesicle cycle (GO:0099504),2
664,SLC43A2,amino acid transport (GO:0006865),2
665,MAST3,peptidyl-serine phosphorylation (GO:0018105),2
666,MAPK11,vascular endothelial growth factor receptor signaling pathway (GO:0048010),2
667,MAPK11,cellular response to virus (GO:0098586),2
668,SLC43A2,neutral amino acid transport (GO:0015804),2
669,SLC7A5,neutral amino acid transport (GO:0015804),2
670,ACAP3,regulation of Ras protein signal transduction (GO:0046578),2
671,SHC2,vascular endothelial growth factor receptor signaling pathway (GO:0048010),1
672,CA1,bicarbonate transport (GO:0015701),1
673,WDR61,"nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)",1
674,CYP3A5,organonitrogen compound catabolic process (GO:1901565),1
675,B3GAT2,aminoglycan metabolic process (GO:0006022),1
676,ANGPT2,regulation of blood vessel endothelial cell migration (GO:0043535),1
677,CKMT1A,creatine metabolic process (GO:0006600),1
678,CPQ,organonitrogen compound catabolic process (GO:1901565),1
679,CRKL,positive regulation of cell morphogenesis involved in differentiation (GO:0010770),1
680,CRLF3,negative regulation of cell growth (GO:0030308),1
681,RPH3A,regulation of calcium ion-dependent exocytosis (GO:0017158),1
682,RAB40C,regulation of secretion by cell (GO:1903530),1
683,CYGB,regulation of monooxygenase activity (GO:0032768),1
684,LY86,positive regulation of multi-organism process (GO:0043902),1
685,DCLRE1C,telomere capping (GO:0016233),1
686,TP53TG5,negative regulation of cell growth (GO:0030308),1
687,ITGA7,endoderm formation (GO:0001706),1
688,INF2,regulation of mitochondrion organization (GO:0010821),1
689,HDAC10,histone deacetylation (GO:0016575),1
690,ST18,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001269),1
691,MGST1,prostaglandin biosynthetic process (GO:0001516),1
692,MYO10,regulation of filopodium assembly (GO:0051489),1
693,MYO9B,regulation of Ras protein signal transduction (GO:0046578),1
694,GAB1,ERBB2 signaling pathway (GO:0038128),1
695,DYNLT1,establishment of mitotic spindle orientation (GO:0000132),1
696,DUSP16,protein export from nucleus (GO:0006611),1
697,PIAS4,positive regulation of protein sumoylation (GO:0033235),1
698,PKD2L2,detection of mechanical stimulus (GO:0050982),1
699,PODXL2,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),1
700,POLE2,cellular macromolecule biosynthetic process (GO:0034645),1
701,LPAR6,phospholipase C-activating G-protein coupled receptor signaling pathway (GO:0007200),1
702,PTGDS,prostaglandin biosynthetic process (GO:0001516),1
703,TIMP3,regulation of membrane protein ectodomain proteolysis (GO:0051043),1
704,PPFIA3,regulation of neuronal synaptic plasticity (GO:0048168),1
