,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
169,cellular response to peptide (GO:1901653),GO:1901653,cellular process,response to chemical,cellular response to endogenous stimulus,cellular response to organic substance,,,,
170,acylglycerol metabolic process (GO:0006639),GO:0006639,cellular process,cellular metabolic process,lipid metabolic process,glycerolipid metabolic process,,,,
171,regulation of cholesterol biosynthetic process (GO:0045540),GO:0045540,biological regulation,regulation of biological process,regulation of metabolic process,regulation of small molecule metabolic process,regulation of lipid metabolic process,regulation of steroid metabolic process,regulation of sterol biosynthetic process,
172,regulation of glucocorticoid receptor signaling pathway (GO:2000322),GO:2000322,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of intracellular steroid hormone receptor signaling pathway,,,
173,establishment of apical/basal cell polarity (GO:0035089),GO:0035089,cellular process,establishment or maintenance of cell polarity,establishment of cell polarity,establishment of monopolar cell polarity,,,,
174,negative regulation of protein localization to cell periphery (GO:1904376),GO:1904376,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of protein localization to cell periphery,,
175,skeletal muscle organ development (GO:0060538),GO:0060538,developmental process,anatomical structure development,animal organ development,muscle organ development,,,,
176,phosphatidylethanolamine biosynthetic process (GO:0006646),GO:0006646,cellular process,primary metabolic process,organic substance biosynthetic process,lipid biosynthetic process,glycerophospholipid biosynthetic process,phosphatidylethanolamine metabolic process,,
177,positive regulation of muscle hypertrophy (GO:0014742),GO:0014742,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of system process,regulation of muscle system process,regulation of muscle hypertrophy,,
178,negative regulation of neuron projection regeneration (GO:0070571),GO:0070571,biological regulation,regulation of biological process,regulation of developmental process,negative regulation of cellular process,regulation of cell projection organization,negative regulation of cell projection organization,regulation of neuron projection development,
179,histone arginine methylation (GO:0034969),GO:0034969,metabolic process,methylation,macromolecule methylation,protein modification process,peptidyl-arginine methylation,peptidyl-arginine modification,,
180,regulation of keratinocyte proliferation (GO:0010837),GO:0010837,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell population proliferation,regulation of epithelial cell proliferation,,,
181,negative regulation of receptor internalization (GO:0002091),GO:0002091,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of transport,regulation of endocytosis,negative regulation of receptor-mediated endocytosis,regulation of receptor internalization,
182,positive chemotaxis (GO:0050918),GO:0050918,locomotion,taxis,chemotaxis,,,,,
183,regulation of interferon-alpha secretion (GO:1902739),GO:1902739,biological regulation,regulation of biological process,regulation of metabolic process,regulation of macromolecule metabolic process,regulation of gene expression,,,
184,positive regulation of cardiac muscle cell proliferation (GO:0060045),GO:0060045,biological regulation,regulation of biological process,regulation of developmental process,regulation of organ growth,regulation of heart growth,positive regulation of heart growth,positive regulation of cardiac muscle tissue growth,
185,"substrate-dependent cell migration, cell extension (GO:0006930)",GO:0006930,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,cell projection assembly,plasma membrane bounded cell projection assembly,,
186,striated muscle cell development (GO:0055002),GO:0055002,developmental process,anatomical structure development,cell development,muscle cell development,,,,
187,regulation of actin polymerization or depolymerization (GO:0008064),GO:0008064,biological regulation,regulation of biological process,regulation of anatomical structure size,regulation of cellular component size,regulation of supramolecular fiber organization,regulation of actin filament organization,,
188,stress fiber assembly (GO:0043149),GO:0043149,cellular process,actin filament-based process,cellular component organization,supramolecular fiber organization,actin filament bundle assembly,actin filament bundle organization,,
189,negative regulation of release of cytochrome c from mitochondria (GO:0090201),GO:0090201,biological regulation,regulation of biological process,regulation of signaling,negative regulation of cellular process,negative regulation of cell death,regulation of apoptotic process,negative regulation of mitochondrion organization,
190,"positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517)",GO:0043517,biological regulation,regulation of biological process,regulation of signaling,regulation of cell communication,regulation of intracellular signal transduction,positive regulation of intracellular signal transduction,positive regulation of signal transduction by p53 class mediator,
191,muscle filament sliding (GO:0030049),GO:0030049,cellular process,actin filament-based process,actin filament-based movement,actin-mediated cell contraction,actin-myosin filament sliding,,,
192,RNA modification (GO:0009451),GO:0009451,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,RNA metabolic process,,,
193,response to amyloid-beta (GO:1904645),GO:1904645,response to stimulus,response to chemical,response to organic substance,response to organonitrogen compound,,,,
194,lamellipodium organization (GO:0097581),GO:0097581,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,,,
195,protein targeting to ER (GO:0045047),GO:0045047,cellular process,cellular localization,cellular macromolecule localization,establishment of protein localization to organelle,protein targeting,protein localization to endoplasmic reticulum,,
196,positive regulation of vascular smooth muscle cell proliferation (GO:1904707),GO:1904707,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell population proliferation,regulation of smooth muscle cell proliferation,regulation of vascular associated smooth muscle cell proliferation,,
197,regulation of gene expression by genetic imprinting (GO:0006349),GO:0006349,biological regulation,regulation of biological process,cellular component organization,protein-containing complex organization,protein-DNA complex organization,epigenetic regulation of gene expression,chromatin remodeling,
198,negative regulation of cell cycle arrest (GO:0071157),GO:0071157,biological regulation,regulation of biological process,regulation of cellular process,,,,,
199,cellular macromolecule biosynthetic process (GO:0034645),GO:0034645,,,,,,,,
200,phospholipid catabolic process (GO:0009395),GO:0009395,cellular process,catabolic process,organic substance catabolic process,phospholipid metabolic process,,,,
201,extracellular matrix disassembly (GO:0022617),GO:0022617,cellular process,cellular component organization or biogenesis,cellular component organization,extracellular structure organization,extracellular matrix organization,,,
202,cyclic nucleotide catabolic process (GO:0009214),GO:0009214,cellular process,catabolic process,organic cyclic compound metabolic process,organophosphate catabolic process,nucleoside phosphate catabolic process,cyclic nucleotide metabolic process,,
203,presynaptic membrane assembly (GO:0097105),GO:0097105,cellular process,cellular component organization or biogenesis,cellular component organization,cellular component assembly,membrane assembly,,,
204,intra-Golgi vesicle-mediated transport (GO:0006891),GO:0006891,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,
205,ATP generation from ADP (GO:0006757),GO:0006757,,,,,,,,
206,ribosomal small subunit biogenesis (GO:0042274),GO:0042274,cellular process,cellular component organization or biogenesis,cellular component biogenesis,ribonucleoprotein complex biogenesis,,,,
207,neuronal ion channel clustering (GO:0045161),GO:0045161,cellular process,cellular component organization or biogenesis,cellular component organization,membrane organization,,,,
208,mitochondrial translation (GO:0032543),GO:0032543,cellular process,primary metabolic process,organic substance biosynthetic process,peptide metabolic process,peptide biosynthetic process,,,
209,protein localization to synapse (GO:0035418),GO:0035418,cellular process,cellular localization,cellular macromolecule localization,protein localization,protein localization to cell junction,,,
210,regulation of B cell proliferation (GO:0030888),GO:0030888,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell activation,regulation of leukocyte proliferation,regulation of mononuclear cell proliferation,,
211,regulation of myeloid leukocyte differentiation (GO:0002761),GO:0002761,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell differentiation,regulation of leukocyte differentiation,,,
212,viral RNA genome replication (GO:0039694),GO:0039694,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,,,
213,sister chromatid segregation (GO:0000819),GO:0000819,cellular process,cell cycle process,chromosome segregation,organelle organization,chromosome organization,,,
214,peripheral nervous system development (GO:0007422),GO:0007422,developmental process,anatomical structure development,system development,,,,,
215,regulation of mitochondrion organization (GO:0010821),GO:0010821,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,,,
216,positive regulation of protein sumoylation (GO:0033235),GO:0033235,biological regulation,regulation of biological process,positive regulation of biological process,regulation of primary metabolic process,positive regulation of nitrogen compound metabolic process,regulation of protein modification process,positive regulation of protein modification process,positive regulation of protein modification by small protein conjugation or removal
217,cellular response to ammonium ion (GO:0071242),GO:0071242,cellular process,response to chemical,response to inorganic substance,cellular response to nitrogen compound,,,,
218,mammary gland epithelial cell differentiation (GO:0060644),GO:0060644,developmental process,cellular developmental process,cell differentiation,epithelial cell differentiation,,,,
219,tRNA aminoacylation (GO:0043039),GO:0043039,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,
220,ATP synthesis coupled electron transport (GO:0042773),GO:0042773,cellular process,cellular metabolic process,generation of precursor metabolites and energy,electron transport chain,respiratory electron transport chain,,,
221,mitochondrial gene expression (GO:0140053),GO:0140053,metabolic process,organic substance metabolic process,macromolecule metabolic process,gene expression,,,,
222,negative regulation of adenylate cyclase activity (GO:0007194),GO:0007194,biological regulation,regulation of molecular function,negative regulation of molecular function,regulation of lyase activity,negative regulation of lyase activity,,,
223,positive regulation of B cell proliferation (GO:0030890),GO:0030890,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell activation,positive regulation of cell activation,positive regulation of leukocyte proliferation,positive regulation of lymphocyte proliferation,
224,synaptic vesicle recycling (GO:0036465),GO:0036465,localization,establishment of localization,transport,,,,,
225,positive regulation of small GTPase mediated signal transduction (GO:0051057),GO:0051057,biological regulation,regulation of biological process,regulation of response to stimulus,positive regulation of response to stimulus,positive regulation of cell communication,positive regulation of intracellular signal transduction,,
226,cAMP metabolic process (GO:0046058),GO:0046058,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleotide metabolic process,purine ribonucleotide metabolic process,,
227,organophosphate ester transport (GO:0015748),GO:0015748,localization,establishment of localization,transport,organic substance transport,,,,
228,cell differentiation in hindbrain (GO:0021533),GO:0021533,developmental process,cellular developmental process,cell differentiation,,,,,
229,regulation of protein tyrosine kinase activity (GO:0061097),GO:0061097,biological regulation,regulation of biological process,regulation of catalytic activity,regulation of cellular metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein phosphorylation,regulation of peptidyl-tyrosine phosphorylation
230,termination of RNA polymerase I transcription (GO:0006363),GO:0006363,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,DNA-templated transcription termination,,
231,regulation of stem cell population maintenance (GO:2000036),GO:2000036,biological regulation,regulation of biological process,regulation of multicellular organismal process,,,,,
232,skeletal system morphogenesis (GO:0048705),GO:0048705,developmental process,anatomical structure morphogenesis,animal organ morphogenesis,,,,,
233,positive regulation of cell junction assembly (GO:1901890),GO:1901890,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cellular component biogenesis,positive regulation of cellular component organization,,,
234,positive regulation of circadian rhythm (GO:0042753),GO:0042753,biological regulation,regulation of biological process,regulation of circadian rhythm,,,,,
235,axonal fasciculation (GO:0007413),GO:0007413,cellular process,cell recognition,neuron recognition,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,neuron projection fasciculation,
236,telomere maintenance via recombination (GO:0000722),GO:0000722,cellular process,primary metabolic process,organic cyclic compound metabolic process,organelle organization,DNA metabolic process,DNA recombination,mitotic recombination,
237,atrial cardiac muscle cell action potential (GO:0086014),GO:0086014,biological regulation,regulation of biological quality,regulation of membrane potential,action potential,cardiac muscle cell action potential,cardiac muscle cell action potential involved in contraction,,
238,response to ATP (GO:0033198),GO:0033198,response to stimulus,response to chemical,response to organic substance,response to organic cyclic compound,response to purine-containing compound,,,
239,aspartate family amino acid biosynthetic process (GO:0009067),GO:0009067,cellular process,small molecule metabolic process,organic substance biosynthetic process,organic acid biosynthetic process,aspartate family amino acid metabolic process,,,
240,tRNA aminoacylation for protein translation (GO:0006418),GO:0006418,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,
241,regulation of dendritic spine development (GO:0060998),GO:0060998,biological regulation,regulation of biological process,regulation of developmental process,,,,,
242,actin filament polymerization (GO:0030041),GO:0030041,cellular process,cellular component organization or biogenesis,cellular component organization,supramolecular fiber organization,protein-containing complex assembly,protein polymerization,,
243,cyclic-nucleotide-mediated signaling (GO:0019935),GO:0019935,biological regulation,regulation of biological process,intracellular signal transduction,second-messenger-mediated signaling,,,,
244,cholesterol homeostasis (GO:0042632),GO:0042632,homeostatic process,chemical homeostasis,lipid homeostasis,sterol homeostasis,,,,
245,positive regulation of smooth muscle cell proliferation (GO:0048661),GO:0048661,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell population proliferation,regulation of smooth muscle cell proliferation,,,
246,regulation of histone phosphorylation (GO:0033127),GO:0033127,,,,,,,,
247,regulation of smooth muscle cell migration (GO:0014910),GO:0014910,biological regulation,regulation of biological process,regulation of locomotion,regulation of cell motility,regulation of cell migration,,,
248,regulation of adenylate cyclase activity (GO:0045761),GO:0045761,biological regulation,regulation of molecular function,regulation of catalytic activity,regulation of lyase activity,,,,
249,cellular response to glucagon stimulus (GO:0071377),GO:0071377,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to peptide hormone,cellular response to peptide hormone stimulus,,,
250,vesicle docking (GO:0048278),GO:0048278,cellular process,organelle localization,organelle localization by membrane tethering,,,,,
251,response to estradiol (GO:0032355),GO:0032355,response to stimulus,response to chemical,response to organic substance,response to organic cyclic compound,,,,
252,negative regulation of focal adhesion assembly (GO:0051895),GO:0051895,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell adhesion,regulation of cell-substrate junction organization,regulation of cell-matrix adhesion,regulation of focal adhesion assembly,
253,negative regulation of cell motility (GO:2000146),GO:2000146,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell motility,,,,
254,calcium-mediated signaling using intracellular calcium source (GO:0035584),GO:0035584,biological regulation,regulation of biological process,intracellular signal transduction,second-messenger-mediated signaling,calcium-mediated signaling,,,
255,regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640),GO:0010640,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
256,proteoglycan metabolic process (GO:0006029),GO:0006029,metabolic process,nitrogen compound metabolic process,carbohydrate derivative metabolic process,glycoprotein metabolic process,,,,
257,positive regulation of bone resorption (GO:0045780),GO:0045780,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of tissue remodeling,regulation of bone remodeling,regulation of bone resorption,,
258,"peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)",GO:0019919,metabolic process,methylation,macromolecule methylation,protein modification process,peptidyl-arginine methylation,peptidyl-arginine N-methylation,peptidyl-arginine omega-N-methylation,
259,negative regulation of transport (GO:0051051),GO:0051051,biological regulation,regulation of biological process,negative regulation of biological process,regulation of transport,,,,
260,positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511),GO:0030511,biological regulation,regulation of biological process,regulation of signaling,regulation of cellular response to growth factor stimulus,positive regulation of signal transduction,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,,
261,regulation of keratinocyte differentiation (GO:0045616),GO:0045616,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell differentiation,regulation of epithelial cell differentiation,,,
262,positive regulation of cilium assembly (GO:0045724),GO:0045724,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of cell projection organization,positive regulation of cell projection organization,,
263,nucleotide-excision repair (GO:0006289),GO:0006289,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
264,negative regulation of peptidyl-threonine phosphorylation (GO:0010801),GO:0010801,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of protein metabolic process,negative regulation of protein metabolic process,regulation of protein phosphorylation,negative regulation of phosphorylation
265,positive regulation of blood vessel endothelial cell migration (GO:0043536),GO:0043536,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell motility,regulation of cell migration,regulation of blood vessel endothelial cell migration,,
266,purine ribonucleotide catabolic process (GO:0009154),GO:0009154,cellular process,catabolic process,organic cyclic compound metabolic process,organophosphate catabolic process,nucleoside phosphate catabolic process,purine ribonucleotide metabolic process,,
267,positive regulation of BMP signaling pathway (GO:0030513),GO:0030513,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cellular response to growth factor stimulus,positive regulation of cell communication,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,,
268,regulation of calcium ion transport into cytosol (GO:0010522),GO:0010522,biological regulation,regulation of biological process,regulation of localization,regulation of transmembrane transport,regulation of monoatomic ion transport,regulation of monoatomic cation transmembrane transport,regulation of calcium ion transmembrane transport,
269,vesicle-mediated transport between endosomal compartments (GO:0098927),GO:0098927,localization,establishment of localization,transport,vesicle-mediated transport,,,,
270,regulation of axon guidance (GO:1902667),GO:1902667,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to external stimulus,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
271,peptide biosynthetic process (GO:0043043),GO:0043043,cellular process,biosynthetic process,organonitrogen compound metabolic process,cellular nitrogen compound biosynthetic process,,,,
272,mitotic recombination (GO:0006312),GO:0006312,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,DNA recombination,,
273,long-term memory (GO:0007616),GO:0007616,multicellular organismal process,behavior,nervous system process,cognition,,,,
274,telomere capping (GO:0016233),GO:0016233,cellular process,primary metabolic process,organic cyclic compound metabolic process,organelle organization,DNA metabolic process,telomere organization,,
275,signal peptide processing (GO:0006465),GO:0006465,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,proteolysis,protein processing,,,
276,positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846),GO:1903846,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cellular response to growth factor stimulus,regulation of cellular response to transforming growth factor beta stimulus,,,
277,maturation of 5.8S rRNA (GO:0000460),GO:0000460,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing
278,negative regulation of cell-cell adhesion (GO:0022408),GO:0022408,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell adhesion,regulation of cell-cell adhesion,,,
279,DNA catabolic process (GO:0006308),GO:0006308,cellular process,catabolic process,organic cyclic compound metabolic process,cellular nitrogen compound catabolic process,DNA metabolic process,,,
280,hepaticobiliary system development (GO:0061008),GO:0061008,developmental process,anatomical structure development,system development,,,,,
281,muscle cell development (GO:0055001),GO:0055001,developmental process,anatomical structure development,cell development,,,,,
282,regulation of innate immune response (GO:0045088),GO:0045088,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of immune response,regulation of defense response,,,
283,negative regulation of viral entry into host cell (GO:0046597),GO:0046597,biological regulation,regulation of biological process,regulation of biological process involved in symbiotic interaction,negative regulation of viral process,negative regulation of viral life cycle,,,
284,mRNA catabolic process (GO:0006402),GO:0006402,cellular process,regulation of biological process,organic cyclic compound metabolic process,cellular nitrogen compound catabolic process,RNA metabolic process,mRNA metabolic process,,
285,transition metal ion transport (GO:0000041),GO:0000041,localization,establishment of localization,transport,monoatomic ion transport,monoatomic cation transport,metal ion transport,,
286,axon regeneration (GO:0031103),GO:0031103,developmental process,anatomical structure development,cellular response to stress,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,axon development,
287,blood circulation (GO:0008015),GO:0008015,multicellular organismal process,system process,circulatory system process,,,,,
288,cytoplasmic translational initiation (GO:0002183),GO:0002183,cellular process,cellular metabolic process,translational initiation,,,,,
289,phosphatidic acid biosynthetic process (GO:0006654),GO:0006654,cellular process,primary metabolic process,organic substance biosynthetic process,lipid biosynthetic process,glycerophospholipid biosynthetic process,phosphatidic acid metabolic process,,
290,positive regulation of nitric oxide biosynthetic process (GO:0045429),GO:0045429,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of cellular biosynthetic process,regulation of nitric oxide biosynthetic process,,
291,negative regulation of cell junction assembly (GO:1901889),GO:1901889,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component biogenesis,negative regulation of cellular component organization,,,
292,cellular response to alkaloid (GO:0071312),GO:0071312,cellular process,response to chemical,cellular response to endogenous stimulus,cellular response to organic substance,response to alkaloid,,,
293,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157),GO:0007157,cellular process,cell adhesion,cell-cell adhesion,cell-cell adhesion via plasma-membrane adhesion molecules,,,,
294,outflow tract septum morphogenesis (GO:0003148),GO:0003148,developmental process,anatomical structure morphogenesis,cardiac septum morphogenesis,,,,,
295,response to cholesterol (GO:0070723),GO:0070723,response to stimulus,response to chemical,response to organic substance,response to organic cyclic compound,,,,
296,positive regulation of phosphate metabolic process (GO:0045937),GO:0045937,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cellular metabolic process,regulation of phosphorus metabolic process,regulation of phosphate metabolic process,,
297,positive regulation of protein exit from endoplasmic reticulum (GO:0070863),GO:0070863,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,regulation of protein exit from endoplasmic reticulum,
298,cell communication by electrical coupling involved in cardiac conduction (GO:0086064),GO:0086064,cellular process,cell communication,cell communication involved in cardiac conduction,,,,,
299,endothelial cell differentiation (GO:0045446),GO:0045446,developmental process,cellular developmental process,cell differentiation,epithelial cell differentiation,,,,
300,positive regulation of glucose import (GO:0046326),GO:0046326,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of glucose transmembrane transport,regulation of glucose import,,
301,mitochondrion transport along microtubule (GO:0047497),GO:0047497,cellular process,cellular localization,microtubule-based movement,"establishment of mitochondrion localization, microtubule-mediated",,,,
302,dendritic spine organization (GO:0097061),GO:0097061,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection organization,,
303,regulation of neurotransmitter transport (GO:0051588),GO:0051588,biological regulation,regulation of biological process,regulation of localization,regulation of transport,,,,
304,glycogen catabolic process (GO:0005980),GO:0005980,cellular process,catabolic process,carbohydrate metabolic process,carbohydrate catabolic process,glucan metabolic process,glycogen metabolic process,,
305,neuron projection maintenance (GO:1990535),GO:1990535,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection organization,,
306,regulation of long-term neuronal synaptic plasticity (GO:0048169),GO:0048169,biological regulation,regulation of biological process,regulation of synaptic plasticity,regulation of neuronal synaptic plasticity,modulation of chemical synaptic transmission,,,
307,proline transport (GO:0015824),GO:0015824,localization,establishment of localization,transport,organic substance transport,organic anion transport,carboxylic acid transport,,
308,regulation of neuroblast proliferation (GO:1902692),GO:1902692,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell population proliferation,regulation of neural precursor cell proliferation,,,
309,glycerol-3-phosphate metabolic process (GO:0006072),GO:0006072,cellular process,cellular metabolic process,carbohydrate derivative metabolic process,phosphate-containing compound metabolic process,,,,
310,"nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)",GO:0000291,cellular process,regulation of biological process,organic cyclic compound metabolic process,cellular nitrogen compound catabolic process,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process,
311,receptor clustering (GO:0043113),GO:0043113,cellular process,cellular localization,cellular macromolecule localization,protein localization to membrane,,,,
312,peptidyl-arginine methylation (GO:0018216),GO:0018216,metabolic process,methylation,macromolecule methylation,protein methylation,protein alkylation,peptidyl-arginine modification,,
313,"negative regulation of translation, ncRNA-mediated (GO:0040033)",GO:0040033,biological regulation,regulation of biological process,negative regulation of biological process,regulation of macromolecule metabolic process,negative regulation of macromolecule metabolic process,negative regulation of gene expression,post-transcriptional gene silencing,ncRNA-mediated post-transcriptional gene silencing
314,cellular glucose homeostasis (GO:0001678),GO:0001678,homeostatic process,chemical homeostasis,carbohydrate homeostasis,glucose homeostasis,,,,
315,regulation of ARF protein signal transduction (GO:0032012),GO:0032012,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of intracellular signal transduction,regulation of small GTPase mediated signal transduction,regulation of Ras protein signal transduction,
316,mitochondrial translational elongation (GO:0070125),GO:0070125,metabolic process,biosynthetic process,macromolecule metabolic process,macromolecule biosynthetic process,translational elongation,,,
317,oligodendrocyte differentiation (GO:0048709),GO:0048709,developmental process,cellular developmental process,cell differentiation,glial cell differentiation,,,,
318,regulation of phospholipase C activity (GO:1900274),GO:1900274,biological regulation,regulation of molecular function,regulation of catalytic activity,regulation of hydrolase activity,regulation of lipase activity,regulation of phospholipase activity,,
319,cellular polysaccharide biosynthetic process (GO:0033692),GO:0033692,,,,,,,,
320,positive regulation of heart contraction (GO:0045823),GO:0045823,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of system process,positive regulation of blood circulation,regulation of heart contraction,,
321,regulation of non-canonical Wnt signaling pathway (GO:2000050),GO:2000050,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of Wnt signaling pathway,,,
322,potassium ion transport (GO:0006813),GO:0006813,localization,establishment of localization,transport,monoatomic ion transport,monoatomic cation transport,metal ion transport,,
323,nonribosomal peptide biosynthetic process (GO:0019184),GO:0019184,cellular process,biosynthetic process,organonitrogen compound metabolic process,cellular nitrogen compound biosynthetic process,peptide biosynthetic process,,,
324,positive regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter (GO:1901838),GO:1901838,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,positive regulation of RNA biosynthetic process,regulation of transcription of nucleolar large rRNA by RNA polymerase I
325,pathway-restricted SMAD protein phosphorylation (GO:0060389),GO:0060389,cellular process,cellular metabolic process,phosphorus metabolic process,phosphate-containing compound metabolic process,phosphorylation,,,
326,regulation of actin filament polymerization (GO:0030833),GO:0030833,cellular process,regulation of biological process,cellular component organization,regulation of cellular component size,regulation of actin filament length,regulation of protein polymerization,,
327,dynamin family protein polymerization involved in mitochondrial fission (GO:0003374),GO:0003374,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein polymerization,dynamin family protein polymerization involved in membrane fission,
328,negative regulation of gene silencing by miRNA (GO:0060965),GO:0060965,biological regulation,regulation of biological process,positive regulation of biological process,negative regulation of gene silencing by RNA,regulation of gene expression,regulation of post-transcriptional gene silencing,regulation of post-transcriptional gene silencing by RNA,regulation of miRNA-mediated gene silencing
329,positive regulation of ERAD pathway (GO:1904294),GO:1904294,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of protein metabolic process,regulation of proteolysis,regulation of proteolysis involved in protein catabolic process,positive regulation of proteolysis involved in protein catabolic process
330,regulation of transcription factor import into nucleus (GO:0042990),GO:0042990,,,,,,,,
331,positive regulation of T cell mediated immunity (GO:0002711),GO:0002711,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of response to stimulus,regulation of adaptive immune response,positive regulation of leukocyte mediated immunity,regulation of T cell mediated immunity,
332,positive regulation of glucose transport (GO:0010828),GO:0010828,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of glucose transmembrane transport,,,
333,cellular response to amyloid-beta (GO:1904646),GO:1904646,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to organonitrogen compound,response to amyloid-beta,,,
334,negative regulation of autophagosome assembly (GO:1902902),GO:1902902,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of cellular catabolic process,regulation of autophagosome assembly,negative regulation of autophagy,negative regulation of macroautophagy
335,negative regulation of microtubule polymerization or depolymerization (GO:0031111),GO:0031111,biological regulation,regulation of biological process,negative regulation of biological process,regulation of microtubule-based process,regulation of microtubule cytoskeleton organization,regulation of microtubule polymerization or depolymerization,negative regulation of cytoskeleton organization,
