,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
189,I-kappaB kinase/NF-kappaB signaling (GO:0007249),GO:0007249,biological regulation,regulation of biological process,intracellular signal transduction,,,,,
190,regulation of cyclin-dependent protein kinase activity (GO:1904029),GO:1904029,biological regulation,regulation of biological process,regulation of catalytic activity,regulation of cellular metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein phosphorylation,
191,acylglycerol catabolic process (GO:0046464),GO:0046464,cellular process,catabolic process,organic substance catabolic process,glycerolipid metabolic process,neutral lipid catabolic process,,,
192,positive regulation of locomotion (GO:0040017),GO:0040017,biological regulation,regulation of biological process,positive regulation of biological process,,,,,
193,positive regulation of erythrocyte differentiation (GO:0045648),GO:0045648,biological regulation,regulation of biological process,regulation of immune system process,regulation of cell differentiation,regulation of cell development,regulation of erythrocyte differentiation,,
194,negative regulation of protein localization to cell periphery (GO:1904376),GO:1904376,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of protein localization to cell periphery,,
195,skeletal muscle organ development (GO:0060538),GO:0060538,developmental process,anatomical structure development,animal organ development,muscle organ development,,,,
196,phosphatidylethanolamine biosynthetic process (GO:0006646),GO:0006646,cellular process,primary metabolic process,organic substance biosynthetic process,lipid biosynthetic process,glycerophospholipid biosynthetic process,phosphatidylethanolamine metabolic process,,
197,negative regulation of plasma membrane bounded cell projection assembly (GO:0120033),GO:0120033,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component biogenesis,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,,
198,histone arginine methylation (GO:0034969),GO:0034969,metabolic process,methylation,macromolecule methylation,protein modification process,peptidyl-arginine methylation,peptidyl-arginine modification,,
199,regulation of keratinocyte proliferation (GO:0010837),GO:0010837,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell population proliferation,regulation of epithelial cell proliferation,,,
200,negative regulation of receptor internalization (GO:0002091),GO:0002091,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of transport,regulation of endocytosis,negative regulation of receptor-mediated endocytosis,regulation of receptor internalization,
201,muscle organ development (GO:0007517),GO:0007517,developmental process,anatomical structure development,animal organ development,,,,,
202,regulation of interferon-alpha secretion (GO:1902739),GO:1902739,biological regulation,regulation of biological process,regulation of metabolic process,regulation of macromolecule metabolic process,regulation of gene expression,,,
203,positive regulation of cardiac muscle cell proliferation (GO:0060045),GO:0060045,biological regulation,regulation of biological process,regulation of developmental process,regulation of organ growth,regulation of heart growth,positive regulation of heart growth,positive regulation of cardiac muscle tissue growth,
204,"regulation of retrograde protein transport, ER to cytosol (GO:1904152)",GO:1904152,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,regulation of protein exit from endoplasmic reticulum,
205,"substrate-dependent cell migration, cell extension (GO:0006930)",GO:0006930,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,cell projection assembly,plasma membrane bounded cell projection assembly,,
206,striated muscle cell development (GO:0055002),GO:0055002,developmental process,anatomical structure development,cell development,muscle cell development,,,,
207,regulation of actin polymerization or depolymerization (GO:0008064),GO:0008064,biological regulation,regulation of biological process,regulation of anatomical structure size,regulation of cellular component size,regulation of supramolecular fiber organization,regulation of actin filament organization,,
208,stress fiber assembly (GO:0043149),GO:0043149,cellular process,actin filament-based process,cellular component organization,supramolecular fiber organization,actin filament bundle assembly,actin filament bundle organization,,
209,positive regulation of SMAD protein import into nucleus (GO:0060391),GO:0060391,biological regulation,regulation of biological process,regulation of signaling,regulation of cell communication,regulation of intracellular signal transduction,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,,
210,"nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0035872)",GO:0035872,biological regulation,regulation of biological process,intracellular receptor signaling pathway,,,,,
211,muscle filament sliding (GO:0030049),GO:0030049,cellular process,actin filament-based process,actin filament-based movement,actin-mediated cell contraction,actin-myosin filament sliding,,,
212,lamellipodium organization (GO:0097581),GO:0097581,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,,,
213,negative regulation of cation channel activity (GO:2001258),GO:2001258,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of monoatomic ion transmembrane transporter activity,negative regulation of monoatomic ion transmembrane transport,negative regulation of cation transmembrane transport,
214,protein targeting to ER (GO:0045047),GO:0045047,cellular process,cellular localization,cellular macromolecule localization,establishment of protein localization to organelle,protein targeting,protein localization to endoplasmic reticulum,,
215,cellular response to catecholamine stimulus (GO:0071870),GO:0071870,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to organic cyclic compound,response to monoamine,,,
216,positive regulation of vascular smooth muscle cell proliferation (GO:1904707),GO:1904707,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell population proliferation,regulation of smooth muscle cell proliferation,regulation of vascular associated smooth muscle cell proliferation,,
217,regulation of G1/S transition of mitotic cell cycle (GO:2000045),GO:2000045,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell cycle,regulation of mitotic cell cycle,regulation of mitotic cell cycle phase transition,regulation of cell cycle G1/S phase transition,
218,negative regulation of cell cycle arrest (GO:0071157),GO:0071157,biological regulation,regulation of biological process,regulation of cellular process,,,,,
219,nuclear transport (GO:0051169),GO:0051169,cellular process,establishment of localization,transport,,,,,
220,phospholipid catabolic process (GO:0009395),GO:0009395,cellular process,catabolic process,organic substance catabolic process,phospholipid metabolic process,,,,
221,extracellular matrix disassembly (GO:0022617),GO:0022617,cellular process,cellular component organization or biogenesis,cellular component organization,extracellular structure organization,extracellular matrix organization,,,
222,cyclic nucleotide catabolic process (GO:0009214),GO:0009214,cellular process,catabolic process,organic cyclic compound metabolic process,organophosphate catabolic process,nucleoside phosphate catabolic process,cyclic nucleotide metabolic process,,
223,cellular response to heat (GO:0034605),GO:0034605,cellular process,response to abiotic stimulus,cellular response to stress,,,,,
224,presynaptic membrane assembly (GO:0097105),GO:0097105,cellular process,cellular component organization or biogenesis,cellular component organization,cellular component assembly,membrane assembly,,,
225,macromolecule catabolic process (GO:0009057),GO:0009057,metabolic process,catabolic process,organic substance catabolic process,,,,,
226,ATP generation from ADP (GO:0006757),GO:0006757,,,,,,,,
227,neuronal ion channel clustering (GO:0045161),GO:0045161,cellular process,cellular component organization or biogenesis,cellular component organization,membrane organization,,,,
228,histone methylation (GO:0016571),GO:0016571,metabolic process,methylation,macromolecule methylation,protein methylation,histone modification,,,
229,positive regulation of stress-activated MAPK cascade (GO:0032874),GO:0032874,biological regulation,regulation of biological process,regulation of signaling,regulation of cell communication,regulation of stress-activated protein kinase signaling cascade,positive regulation of stress-activated protein kinase signaling cascade,positive regulation of MAPK cascade,
230,mitochondrial translation (GO:0032543),GO:0032543,cellular process,primary metabolic process,organic substance biosynthetic process,peptide metabolic process,peptide biosynthetic process,,,
231,protein localization to synapse (GO:0035418),GO:0035418,cellular process,cellular localization,cellular macromolecule localization,protein localization,protein localization to cell junction,,,
232,viral RNA genome replication (GO:0039694),GO:0039694,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,,,
233,sister chromatid segregation (GO:0000819),GO:0000819,cellular process,cell cycle process,chromosome segregation,organelle organization,chromosome organization,,,
234,peripheral nervous system development (GO:0007422),GO:0007422,developmental process,anatomical structure development,system development,,,,,
235,positive regulation of protein sumoylation (GO:0033235),GO:0033235,biological regulation,regulation of biological process,positive regulation of biological process,regulation of primary metabolic process,positive regulation of nitrogen compound metabolic process,regulation of protein modification process,positive regulation of protein modification process,positive regulation of protein modification by small protein conjugation or removal
236,negative regulation of cilium assembly (GO:1902018),GO:1902018,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of cell projection organization,negative regulation of cell projection organization,negative regulation of plasma membrane bounded cell projection assembly,
237,cellular response to ammonium ion (GO:0071242),GO:0071242,cellular process,response to chemical,response to inorganic substance,cellular response to nitrogen compound,,,,
238,tRNA aminoacylation (GO:0043039),GO:0043039,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,
239,mitochondrial gene expression (GO:0140053),GO:0140053,metabolic process,organic substance metabolic process,macromolecule metabolic process,gene expression,,,,
240,negative regulation of adenylate cyclase activity (GO:0007194),GO:0007194,biological regulation,regulation of molecular function,negative regulation of molecular function,regulation of lyase activity,negative regulation of lyase activity,,,
241,synaptic vesicle recycling (GO:0036465),GO:0036465,localization,establishment of localization,transport,,,,,
242,positive regulation of mRNA catabolic process (GO:0061014),GO:0061014,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of mRNA metabolic process,positive regulation of mRNA metabolic process,
243,cAMP metabolic process (GO:0046058),GO:0046058,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleotide metabolic process,purine ribonucleotide metabolic process,,
244,positive regulation of small GTPase mediated signal transduction (GO:0051057),GO:0051057,biological regulation,regulation of biological process,regulation of response to stimulus,positive regulation of response to stimulus,positive regulation of cell communication,positive regulation of intracellular signal transduction,,
245,organophosphate ester transport (GO:0015748),GO:0015748,localization,establishment of localization,transport,organic substance transport,,,,
246,positive regulation of innate immune response (GO:0045089),GO:0045089,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of immune response,positive regulation of response to biotic stimulus,,,
247,cell differentiation in hindbrain (GO:0021533),GO:0021533,developmental process,cellular developmental process,cell differentiation,,,,,
248,regulation of protein tyrosine kinase activity (GO:0061097),GO:0061097,biological regulation,regulation of biological process,regulation of catalytic activity,regulation of cellular metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein phosphorylation,regulation of peptidyl-tyrosine phosphorylation
249,termination of RNA polymerase I transcription (GO:0006363),GO:0006363,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,DNA-templated transcription termination,,
250,skeletal system morphogenesis (GO:0048705),GO:0048705,developmental process,anatomical structure morphogenesis,animal organ morphogenesis,,,,,
251,positive regulation of translational initiation (GO:0045948),GO:0045948,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of macromolecule biosynthetic process,positive regulation of macromolecule biosynthetic process,regulation of translational initiation,
252,positive regulation of circadian rhythm (GO:0042753),GO:0042753,biological regulation,regulation of biological process,regulation of circadian rhythm,,,,,
253,positive regulation of cell junction assembly (GO:1901890),GO:1901890,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cellular component biogenesis,positive regulation of cellular component organization,,,
254,axonal fasciculation (GO:0007413),GO:0007413,cellular process,cell recognition,neuron recognition,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,neuron projection fasciculation,
255,telomere maintenance via recombination (GO:0000722),GO:0000722,cellular process,primary metabolic process,organic cyclic compound metabolic process,organelle organization,DNA metabolic process,DNA recombination,mitotic recombination,
256,atrial cardiac muscle cell action potential (GO:0086014),GO:0086014,biological regulation,regulation of biological quality,regulation of membrane potential,action potential,cardiac muscle cell action potential,cardiac muscle cell action potential involved in contraction,,
257,response to ATP (GO:0033198),GO:0033198,response to stimulus,response to chemical,response to organic substance,response to organic cyclic compound,response to purine-containing compound,,,
258,positive regulation of translation (GO:0045727),GO:0045727,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of macromolecule biosynthetic process,positive regulation of macromolecule biosynthetic process,,
259,tRNA aminoacylation for protein translation (GO:0006418),GO:0006418,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,
260,regulation of dendritic spine development (GO:0060998),GO:0060998,biological regulation,regulation of biological process,regulation of developmental process,,,,,
261,actin filament polymerization (GO:0030041),GO:0030041,cellular process,cellular component organization or biogenesis,cellular component organization,supramolecular fiber organization,protein-containing complex assembly,protein polymerization,,
262,cholesterol homeostasis (GO:0042632),GO:0042632,homeostatic process,chemical homeostasis,lipid homeostasis,sterol homeostasis,,,,
263,regulation of histone phosphorylation (GO:0033127),GO:0033127,,,,,,,,
264,regulation of smooth muscle cell migration (GO:0014910),GO:0014910,biological regulation,regulation of biological process,regulation of locomotion,regulation of cell motility,regulation of cell migration,,,
265,regulation of peptide secretion (GO:0002791),GO:0002791,biological regulation,regulation of biological process,regulation of localization,regulation of transport,regulation of secretion,,,
266,regulation of adenylate cyclase activity (GO:0045761),GO:0045761,biological regulation,regulation of molecular function,regulation of catalytic activity,regulation of lyase activity,,,,
267,cellular response to glucagon stimulus (GO:0071377),GO:0071377,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to peptide hormone,cellular response to peptide hormone stimulus,,,
268,regulation of regulated secretory pathway (GO:1903305),GO:1903305,biological regulation,regulation of biological process,regulation of localization,regulation of secretion by cell,regulation of secretion,,,
269,vesicle docking (GO:0048278),GO:0048278,cellular process,organelle localization,organelle localization by membrane tethering,,,,,
270,regulation of calcineurin-NFAT signaling cascade (GO:0070884),GO:0070884,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of intracellular signal transduction,regulation of calcium-mediated signaling,regulation of calcineurin-mediated signaling,
271,response to estradiol (GO:0032355),GO:0032355,response to stimulus,response to chemical,response to organic substance,response to organic cyclic compound,,,,
272,negative regulation of focal adhesion assembly (GO:0051895),GO:0051895,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell adhesion,regulation of cell-substrate junction organization,regulation of cell-matrix adhesion,regulation of focal adhesion assembly,
273,negative regulation of cell motility (GO:2000146),GO:2000146,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell motility,,,,
274,calcium-mediated signaling using intracellular calcium source (GO:0035584),GO:0035584,biological regulation,regulation of biological process,intracellular signal transduction,second-messenger-mediated signaling,calcium-mediated signaling,,,
275,collagen metabolic process (GO:0032963),GO:0032963,metabolic process,,,,,,,
276,regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640),GO:0010640,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
277,positive regulation of bone resorption (GO:0045780),GO:0045780,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of tissue remodeling,regulation of bone remodeling,regulation of bone resorption,,
278,"peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)",GO:0019919,metabolic process,methylation,macromolecule methylation,protein modification process,peptidyl-arginine methylation,peptidyl-arginine N-methylation,peptidyl-arginine omega-N-methylation,
279,protein K63-linked deubiquitination (GO:0070536),GO:0070536,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,proteolysis,protein modification by small protein removal,protein deubiquitination,,
280,inositol phosphate metabolic process (GO:0043647),GO:0043647,cellular process,cellular metabolic process,organic hydroxy compound metabolic process,polyol metabolic process,,,,
281,regulation of necroptotic process (GO:0060544),GO:0060544,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell death,regulation of necrotic cell death,regulation of programmed necrotic cell death,,
282,negative regulation of amyloid precursor protein catabolic process (GO:1902992),GO:1902992,biological regulation,regulation of biological process,negative regulation of biological process,regulation of primary metabolic process,negative regulation of macromolecule metabolic process,negative regulation of protein metabolic process,,
283,positive regulation of cilium assembly (GO:0045724),GO:0045724,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of cell projection organization,positive regulation of cell projection organization,,
284,regulation of G-protein coupled receptor protein signaling pathway (GO:0008277),GO:0008277,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
285,negative regulation of peptidyl-threonine phosphorylation (GO:0010801),GO:0010801,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of protein metabolic process,negative regulation of protein metabolic process,regulation of protein phosphorylation,negative regulation of phosphorylation
286,positive regulation of blood vessel endothelial cell migration (GO:0043536),GO:0043536,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell motility,regulation of cell migration,regulation of blood vessel endothelial cell migration,,
287,purine ribonucleotide catabolic process (GO:0009154),GO:0009154,cellular process,catabolic process,organic cyclic compound metabolic process,organophosphate catabolic process,nucleoside phosphate catabolic process,purine ribonucleotide metabolic process,,
288,positive regulation of BMP signaling pathway (GO:0030513),GO:0030513,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cellular response to growth factor stimulus,positive regulation of cell communication,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,,
289,regulation of nuclear cell cycle DNA replication (GO:0033262),GO:0033262,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of DNA replication,regulation of DNA-templated DNA replication,
290,regulation of calcium ion transport into cytosol (GO:0010522),GO:0010522,biological regulation,regulation of biological process,regulation of localization,regulation of transmembrane transport,regulation of monoatomic ion transport,regulation of monoatomic cation transmembrane transport,regulation of calcium ion transmembrane transport,
291,"nucleotide-excision repair, DNA gap filling (GO:0006297)",GO:0006297,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
292,"vesicle targeting, rough ER to cis-Golgi (GO:0048207)",GO:0048207,cellular process,vesicle targeting,"vesicle targeting, to, from or within Golgi",,,,,
293,negative regulation of catabolic process (GO:0009895),GO:0009895,biological regulation,regulation of biological process,negative regulation of biological process,regulation of catabolic process,,,,
294,regulation of protein homodimerization activity (GO:0043496),GO:0043496,biological regulation,regulation of molecular function,regulation of binding,regulation of protein binding,,,,
295,mitochondrial fission (GO:0000266),GO:0000266,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle fission,,,
296,peptide biosynthetic process (GO:0043043),GO:0043043,cellular process,biosynthetic process,organonitrogen compound metabolic process,cellular nitrogen compound biosynthetic process,,,,
297,mitotic recombination (GO:0006312),GO:0006312,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,DNA recombination,,
298,long-term memory (GO:0007616),GO:0007616,multicellular organismal process,behavior,nervous system process,cognition,,,,
299,telomere capping (GO:0016233),GO:0016233,cellular process,primary metabolic process,organic cyclic compound metabolic process,organelle organization,DNA metabolic process,telomere organization,,
300,signal peptide processing (GO:0006465),GO:0006465,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,proteolysis,protein processing,,,
301,maturation of 5.8S rRNA (GO:0000460),GO:0000460,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing
302,DNA catabolic process (GO:0006308),GO:0006308,cellular process,catabolic process,organic cyclic compound metabolic process,cellular nitrogen compound catabolic process,DNA metabolic process,,,
303,regulation of cell-substrate junction assembly (GO:0090109),GO:0090109,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of cell-substrate junction organization,,,
304,transition metal ion transport (GO:0000041),GO:0000041,localization,establishment of localization,transport,monoatomic ion transport,monoatomic cation transport,metal ion transport,,
305,axon regeneration (GO:0031103),GO:0031103,developmental process,anatomical structure development,cellular response to stress,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,axon development,
306,double-strand break repair via homologous recombination (GO:0000724),GO:0000724,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,DNA metabolic process,DNA recombination,,
307,blood circulation (GO:0008015),GO:0008015,multicellular organismal process,system process,circulatory system process,,,,,
308,phosphatidic acid biosynthetic process (GO:0006654),GO:0006654,cellular process,primary metabolic process,organic substance biosynthetic process,lipid biosynthetic process,glycerophospholipid biosynthetic process,phosphatidic acid metabolic process,,
309,positive regulation of nitric oxide biosynthetic process (GO:0045429),GO:0045429,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of cellular biosynthetic process,regulation of nitric oxide biosynthetic process,,
310,negative regulation of cell junction assembly (GO:1901889),GO:1901889,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component biogenesis,negative regulation of cellular component organization,,,
311,cation transport (GO:0006812),GO:0006812,localization,establishment of localization,transport,monoatomic ion transport,,,,
312,cellular response to alkaloid (GO:0071312),GO:0071312,cellular process,response to chemical,cellular response to endogenous stimulus,cellular response to organic substance,response to alkaloid,,,
313,melanosome organization (GO:0032438),GO:0032438,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,vesicle organization,pigment granule organization,,
314,positive regulation of phosphate metabolic process (GO:0045937),GO:0045937,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cellular metabolic process,regulation of phosphorus metabolic process,regulation of phosphate metabolic process,,
315,spindle assembly checkpoint (GO:0071173),GO:0071173,biological regulation,regulation of biological process,intracellular signal transduction,regulation of cell cycle,spindle checkpoint signaling,regulation of cell cycle phase transition,negative regulation of cell cycle phase transition,
316,positive regulation of protein exit from endoplasmic reticulum (GO:0070863),GO:0070863,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,regulation of protein exit from endoplasmic reticulum,
317,cell communication by electrical coupling involved in cardiac conduction (GO:0086064),GO:0086064,cellular process,cell communication,cell communication involved in cardiac conduction,,,,,
318,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154),GO:0043154,biological regulation,regulation of biological process,regulation of metabolic process,negative regulation of cellular process,negative regulation of cell death,negative regulation of protein metabolic process,negative regulation of proteolysis,negative regulation of cysteine-type endopeptidase activity
319,positive regulation of glucose import (GO:0046326),GO:0046326,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of glucose transmembrane transport,regulation of glucose import,,
320,dendritic spine organization (GO:0097061),GO:0097061,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection organization,,
321,regulation of neurotransmitter transport (GO:0051588),GO:0051588,biological regulation,regulation of biological process,regulation of localization,regulation of transport,,,,
322,neuron projection maintenance (GO:1990535),GO:1990535,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection organization,,
323,toll-like receptor signaling pathway (GO:0002224),GO:0002224,cellular process,activation of immune response,positive regulation of biological process,regulation of response to stress,positive regulation of response to biotic stimulus,positive regulation of innate immune response,,
324,regulation of long-term neuronal synaptic plasticity (GO:0048169),GO:0048169,biological regulation,regulation of biological process,regulation of synaptic plasticity,regulation of neuronal synaptic plasticity,modulation of chemical synaptic transmission,,,
325,proline transport (GO:0015824),GO:0015824,localization,establishment of localization,transport,organic substance transport,organic anion transport,carboxylic acid transport,,
326,glycerol-3-phosphate metabolic process (GO:0006072),GO:0006072,cellular process,cellular metabolic process,carbohydrate derivative metabolic process,phosphate-containing compound metabolic process,,,,
327,"nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)",GO:0000291,cellular process,regulation of biological process,organic cyclic compound metabolic process,cellular nitrogen compound catabolic process,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process,
328,receptor clustering (GO:0043113),GO:0043113,cellular process,cellular localization,cellular macromolecule localization,protein localization to membrane,,,,
329,peptidyl-arginine methylation (GO:0018216),GO:0018216,metabolic process,methylation,macromolecule methylation,protein methylation,protein alkylation,peptidyl-arginine modification,,
330,cellular glucose homeostasis (GO:0001678),GO:0001678,homeostatic process,chemical homeostasis,carbohydrate homeostasis,glucose homeostasis,,,,
331,regulation of ARF protein signal transduction (GO:0032012),GO:0032012,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of intracellular signal transduction,regulation of small GTPase mediated signal transduction,regulation of Ras protein signal transduction,
332,mitochondrial translational elongation (GO:0070125),GO:0070125,metabolic process,biosynthetic process,macromolecule metabolic process,macromolecule biosynthetic process,translational elongation,,,
333,negative regulation of innate immune response (GO:0045824),GO:0045824,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of immune response,negative regulation of immune response,,,
334,regulation of phospholipase C activity (GO:1900274),GO:1900274,biological regulation,regulation of molecular function,regulation of catalytic activity,regulation of hydrolase activity,regulation of lipase activity,regulation of phospholipase activity,,
335,cellular polysaccharide biosynthetic process (GO:0033692),GO:0033692,,,,,,,,
336,positive regulation of heart contraction (GO:0045823),GO:0045823,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of system process,positive regulation of blood circulation,regulation of heart contraction,,
337,potassium ion transport (GO:0006813),GO:0006813,localization,establishment of localization,transport,monoatomic ion transport,monoatomic cation transport,metal ion transport,,
338,positive regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter (GO:1901838),GO:1901838,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,positive regulation of RNA biosynthetic process,regulation of transcription of nucleolar large rRNA by RNA polymerase I
339,"chemical synaptic transmission, postsynaptic (GO:0099565)",GO:0099565,biological regulation,regulation of biological process,nervous system process,cell surface receptor signaling pathway involved in cell-cell signaling,,,,
340,ATF6-mediated unfolded protein response (GO:0036500),GO:0036500,biological regulation,regulation of biological process,cellular response to stress,response to endoplasmic reticulum stress,,,,
341,positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030),GO:1901030,cellular process,regulation of biological process,regulation of membrane permeability,membrane organization,mitochondrial membrane organization,positive regulation of organelle organization,positive regulation of mitochondrion organization,
342,dynamin family protein polymerization involved in mitochondrial fission (GO:0003374),GO:0003374,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein polymerization,dynamin family protein polymerization involved in membrane fission,
343,regulation of transcription factor import into nucleus (GO:0042990),GO:0042990,,,,,,,,
344,positive regulation of T cell mediated immunity (GO:0002711),GO:0002711,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of response to stimulus,regulation of adaptive immune response,positive regulation of leukocyte mediated immunity,regulation of T cell mediated immunity,
345,regulation of cartilage development (GO:0061035),GO:0061035,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of multicellular organismal development,,,,
346,positive regulation of glucose transport (GO:0010828),GO:0010828,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of glucose transmembrane transport,,,
347,cellular response to amyloid-beta (GO:1904646),GO:1904646,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to organonitrogen compound,response to amyloid-beta,,,
348,negative regulation of activin receptor signaling pathway (GO:0032926),GO:0032926,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,,
349,fatty acid transport (GO:0015908),GO:0015908,localization,establishment of localization,transport,organic substance transport,lipid transport,carboxylic acid transport,monocarboxylic acid transport,
350,negative regulation of microtubule polymerization or depolymerization (GO:0031111),GO:0031111,biological regulation,regulation of biological process,negative regulation of biological process,regulation of microtubule-based process,regulation of microtubule cytoskeleton organization,regulation of microtubule polymerization or depolymerization,negative regulation of cytoskeleton organization,
351,regulation of glucose import (GO:0046324),GO:0046324,biological regulation,regulation of biological process,regulation of localization,regulation of transmembrane transport,regulation of glucose transmembrane transport,,,
352,plasma membrane organization (GO:0007009),GO:0007009,cellular process,cellular component organization or biogenesis,cellular component organization,membrane organization,,,,
353,regulation of secretion (GO:0051046),GO:0051046,biological regulation,regulation of biological process,regulation of localization,regulation of transport,,,,
354,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay (GO:0043928),GO:0043928,cellular process,regulation of biological process,organic cyclic compound metabolic process,cellular nitrogen compound catabolic process,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process,"nuclear-transcribed mRNA catabolic process, exonucleolytic"
