,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
159,maturation of 5.8S rRNA (GO:0000460),GO:0000460,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing
160,negative regulation of cell-cell adhesion (GO:0022408),GO:0022408,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell adhesion,regulation of cell-cell adhesion,,,
161,regulation of cell-substrate junction assembly (GO:0090109),GO:0090109,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of cell-substrate junction organization,,,
162,negative regulation of viral entry into host cell (GO:0046597),GO:0046597,biological regulation,regulation of biological process,regulation of biological process involved in symbiotic interaction,negative regulation of viral process,negative regulation of viral life cycle,,,
163,transition metal ion transport (GO:0000041),GO:0000041,localization,establishment of localization,transport,monoatomic ion transport,monoatomic cation transport,metal ion transport,,
164,axon regeneration (GO:0031103),GO:0031103,developmental process,anatomical structure development,cellular response to stress,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,axon development,
165,positive regulation of nitric oxide biosynthetic process (GO:0045429),GO:0045429,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of cellular biosynthetic process,regulation of nitric oxide biosynthetic process,,
166,cellular response to alkaloid (GO:0071312),GO:0071312,cellular process,response to chemical,cellular response to endogenous stimulus,cellular response to organic substance,response to alkaloid,,,
167,negative regulation of protein exit from endoplasmic reticulum (GO:0070862),GO:0070862,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,regulation of protein exit from endoplasmic reticulum,
168,melanosome organization (GO:0032438),GO:0032438,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,vesicle organization,pigment granule organization,,
169,negative regulation of double-strand break repair (GO:2000780),GO:2000780,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of macromolecule metabolic process,regulation of double-strand break repair,,
170,spindle assembly checkpoint (GO:0071173),GO:0071173,biological regulation,regulation of biological process,intracellular signal transduction,regulation of cell cycle,spindle checkpoint signaling,regulation of cell cycle phase transition,negative regulation of cell cycle phase transition,
171,positive regulation of glycolytic process (GO:0045821),GO:0045821,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of metabolic process,positive regulation of carbohydrate metabolic process,positive regulation of cellular catabolic process,,
172,positive regulation of glucose import (GO:0046326),GO:0046326,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of glucose transmembrane transport,regulation of glucose import,,
173,regulation of neurotransmitter transport (GO:0051588),GO:0051588,biological regulation,regulation of biological process,regulation of localization,regulation of transport,,,,
174,neuron projection maintenance (GO:1990535),GO:1990535,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection organization,,
175,toll-like receptor signaling pathway (GO:0002224),GO:0002224,cellular process,activation of immune response,positive regulation of biological process,regulation of response to stress,positive regulation of response to biotic stimulus,positive regulation of innate immune response,,
176,regulation of long-term neuronal synaptic plasticity (GO:0048169),GO:0048169,biological regulation,regulation of biological process,regulation of synaptic plasticity,regulation of neuronal synaptic plasticity,modulation of chemical synaptic transmission,,,
177,spinal cord development (GO:0021510),GO:0021510,developmental process,anatomical structure development,animal organ development,,,,,
178,proline transport (GO:0015824),GO:0015824,localization,establishment of localization,transport,organic substance transport,organic anion transport,carboxylic acid transport,,
179,glycerol-3-phosphate metabolic process (GO:0006072),GO:0006072,cellular process,cellular metabolic process,carbohydrate derivative metabolic process,phosphate-containing compound metabolic process,,,,
180,regulation of cell aging (GO:0090342),GO:0090342,,,,,,,,
181,"negative regulation of translation, ncRNA-mediated (GO:0040033)",GO:0040033,biological regulation,regulation of biological process,negative regulation of biological process,regulation of macromolecule metabolic process,negative regulation of macromolecule metabolic process,negative regulation of gene expression,post-transcriptional gene silencing,ncRNA-mediated post-transcriptional gene silencing
182,positive regulation of heart contraction (GO:0045823),GO:0045823,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of system process,positive regulation of blood circulation,regulation of heart contraction,,
183,microtubule polymerization or depolymerization (GO:0031109),GO:0031109,cellular process,microtubule-based process,cellular component organization,organelle organization,cytoskeleton organization,,,
184,regulation of transcription factor import into nucleus (GO:0042990),GO:0042990,,,,,,,,
185,positive regulation of T cell mediated immunity (GO:0002711),GO:0002711,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of response to stimulus,regulation of adaptive immune response,positive regulation of leukocyte mediated immunity,regulation of T cell mediated immunity,
186,regulation of cartilage development (GO:0061035),GO:0061035,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of multicellular organismal development,,,,
187,negative regulation of activin receptor signaling pathway (GO:0032926),GO:0032926,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,,
188,negative regulation of microtubule polymerization or depolymerization (GO:0031111),GO:0031111,biological regulation,regulation of biological process,negative regulation of biological process,regulation of microtubule-based process,regulation of microtubule cytoskeleton organization,regulation of microtubule polymerization or depolymerization,negative regulation of cytoskeleton organization,
189,regulation of glucose import (GO:0046324),GO:0046324,biological regulation,regulation of biological process,regulation of localization,regulation of transmembrane transport,regulation of glucose transmembrane transport,,,
190,regulation of secretion (GO:0051046),GO:0051046,biological regulation,regulation of biological process,regulation of localization,regulation of transport,,,,
191,positive regulation of lamellipodium assembly (GO:0010592),GO:0010592,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of cell projection organization,positive regulation of cell projection organization,regulation of lamellipodium assembly,
192,nuclear envelope disassembly (GO:0051081),GO:0051081,cellular process,cellular component organization or biogenesis,cellular component organization,cellular component disassembly,nuclear membrane organization,,,
193,regulation of calcium ion-dependent exocytosis (GO:0017158),GO:0017158,biological regulation,regulation of biological process,regulation of localization,regulation of secretion by cell,regulation of secretion,regulation of regulated secretory pathway,,
194,positive regulation of transcription from RNA polymerase III promoter (GO:0045945),GO:0045945,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,positive regulation of RNA biosynthetic process,positive regulation of nucleic acid-templated transcription
195,negative regulation of smooth muscle cell migration (GO:0014912),GO:0014912,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell motility,regulation of cell migration,regulation of smooth muscle cell migration,,
196,activation of protein kinase A activity (GO:0034199),GO:0034199,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein phosphorylation,activation of protein kinase activity
197,lipid catabolic process (GO:0016042),GO:0016042,metabolic process,catabolic process,organic substance catabolic process,,,,,
198,negative regulation of receptor-mediated endocytosis (GO:0048261),GO:0048261,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of transport,regulation of endocytosis,regulation of receptor-mediated endocytosis,,
199,cellular respiration (GO:0045333),GO:0045333,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,,,,
200,negative regulation of cell cycle G1/S phase transition (GO:1902807),GO:1902807,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell cycle,regulation of cell cycle process,regulation of cell cycle phase transition,negative regulation of cell cycle phase transition,
201,positive regulation of developmental growth (GO:0048639),GO:0048639,biological regulation,regulation of biological process,positive regulation of biological process,regulation of developmental growth,,,,
202,regulation of establishment of protein localization (GO:0070201),GO:0070201,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,,,
203,pore complex assembly (GO:0046931),GO:0046931,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,,,
204,response to axon injury (GO:0048678),GO:0048678,response to stimulus,response to stress,response to wounding,,,,,
205,regulation of ventricular cardiac muscle cell membrane repolarization (GO:0060307),GO:0060307,biological regulation,regulation of biological process,regulation of membrane repolarization,regulation of cardiac muscle cell membrane repolarization,,,,
206,energy reserve metabolic process (GO:0006112),GO:0006112,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,,,,
207,aminoglycan biosynthetic process (GO:0006023),GO:0006023,metabolic process,biosynthetic process,organonitrogen compound metabolic process,macromolecule biosynthetic process,,,,
208,cell morphogenesis involved in neuron differentiation (GO:0048667),GO:0048667,developmental process,anatomical structure morphogenesis,cell morphogenesis,cell morphogenesis involved in differentiation,,,,
209,synaptic vesicle localization (GO:0097479),GO:0097479,localization,organelle localization,vesicle localization,,,,,
210,gliogenesis (GO:0042063),GO:0042063,developmental process,cellular developmental process,cell differentiation,neurogenesis,,,,
211,neutral amino acid transport (GO:0015804),GO:0015804,localization,establishment of localization,transport,organic substance transport,organic anion transport,carboxylic acid transport,,
212,cellular response to unfolded protein (GO:0034620),GO:0034620,cellular process,response to chemical,cellular response to stress,cellular response to organic substance,,,,
213,ribosomal small subunit assembly (GO:0000028),GO:0000028,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein-RNA complex assembly,,
214,myelin assembly (GO:0032288),GO:0032288,developmental process,cellular component organization or biogenesis,cellular component assembly involved in morphogenesis,cellular component assembly,,,,
215,negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948),GO:0030948,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,negative regulation of cellular response to growth factor stimulus,,,
216,inhibition of cysteine-type endopeptidase activity (GO:0097340),GO:0097340,biological regulation,regulation of biological process,regulation of metabolic process,regulation of macromolecule metabolic process,regulation of protein metabolic process,negative regulation of protein metabolic process,negative regulation of protein maturation,negative regulation of cysteine-type endopeptidase activity
217,peroxisome organization (GO:0007031),GO:0007031,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,,,,
218,regulation of heart contraction (GO:0008016),GO:0008016,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of system process,regulation of blood circulation,,,
219,regulation of cell migration involved in sprouting angiogenesis (GO:0090049),GO:0090049,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell motility,regulation of cell migration,regulation of blood vessel endothelial cell migration,,
220,synaptic vesicle endocytosis (GO:0048488),GO:0048488,localization,establishment of localization,transport,vesicle-mediated transport,endocytosis,,,
221,polyamine metabolic process (GO:0006595),GO:0006595,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,amine metabolic process,biogenic amine metabolic process,,,
222,mitotic DNA integrity checkpoint (GO:0044774),GO:0044774,cellular process,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of cell cycle,negative regulation of cell cycle process,negative regulation of cell cycle phase transition,
223,negative regulation of transporter activity (GO:0032410),GO:0032410,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of transport,,,,
224,negative regulation of stress fiber assembly (GO:0051497),GO:0051497,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of supramolecular fiber organization,regulation of actomyosin structure organization,negative regulation of cytoskeleton organization,
225,negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201),GO:0097201,cellular process,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,negative regulation of DNA-templated transcription,negative regulation of transcription by RNA polymerase II
226,aminoglycan metabolic process (GO:0006022),GO:0006022,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,,,,,
227,myoblast differentiation (GO:0045445),GO:0045445,developmental process,cellular developmental process,cell differentiation,,,,,
228,positive regulation of metabolic process (GO:0009893),GO:0009893,biological regulation,regulation of biological process,positive regulation of biological process,,,,,
229,tRNA modification (GO:0006400),GO:0006400,cellular process,primary metabolic process,organic cyclic compound metabolic process,macromolecule modification,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing
230,axonal transport of mitochondrion (GO:0019896),GO:0019896,cellular process,cellular localization,microtubule-based movement,"establishment of mitochondrion localization, microtubule-mediated",mitochondrion transport along microtubule,axonal transport,,
231,long-term synaptic potentiation (GO:0060291),GO:0060291,biological regulation,regulation of biological process,regulation of synaptic plasticity,positive regulation of cellular process,positive regulation of cell communication,,,
232,protein hexamerization (GO:0034214),GO:0034214,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein complex oligomerization,,
233,regulation of ERBB signaling pathway (GO:1901184),GO:1901184,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
234,regulation of calcium ion transmembrane transport (GO:1903169),GO:1903169,biological regulation,regulation of biological process,regulation of localization,regulation of transmembrane transport,regulation of monoatomic ion transmembrane transport,regulation of monoatomic cation transmembrane transport,regulation of calcium ion transport,
235,histone exchange (GO:0043486),GO:0043486,,,,,,,,
236,establishment of spindle orientation (GO:0051294),GO:0051294,cellular process,microtubule-based process,spindle localization,organelle organization,cytoskeleton organization,,,
237,carbohydrate catabolic process (GO:0016052),GO:0016052,metabolic process,catabolic process,organic substance catabolic process,,,,,
238,embryonic heart tube development (GO:0035050),GO:0035050,developmental process,anatomical structure development,tissue development,epithelium development,,,,
239,cellular lipid biosynthetic process (GO:0097384),GO:0097384,cellular process,biosynthetic process,lipid metabolic process,lipid biosynthetic process,,,,
240,homotypic cell-cell adhesion (GO:0034109),GO:0034109,cellular process,cell adhesion,cell-cell adhesion,,,,,
241,regulation of AMPA receptor activity (GO:2000311),GO:2000311,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of transport,regulation of monoatomic ion transmembrane transporter activity,,,
242,double-strand break repair via nonhomologous end joining (GO:0006303),GO:0006303,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,DNA metabolic process,double-strand break repair,,
243,miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280),GO:0035280,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein-RNA complex assembly,,
244,positive regulation of protein tyrosine kinase activity (GO:0061098),GO:0061098,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein tyrosine kinase activity,regulation of peptidyl-tyrosine phosphorylation
245,neuromuscular junction development (GO:0007528),GO:0007528,cellular process,cellular component organization or biogenesis,cellular component organization,cell junction organization,synapse organization,,,
246,negative regulation of execution phase of apoptosis (GO:1900118),GO:1900118,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell death,negative regulation of cell death,negative regulation of programmed cell death,negative regulation of apoptotic process,
247,negative regulation of calcium-mediated signaling (GO:0050849),GO:0050849,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,negative regulation of signal transduction,negative regulation of intracellular signal transduction,,
248,snRNA processing (GO:0016180),GO:0016180,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,snRNA metabolic process,
249,glycerophospholipid catabolic process (GO:0046475),GO:0046475,cellular process,catabolic process,cellular lipid metabolic process,organophosphate catabolic process,glycerolipid catabolic process,,,
250,cellular response to leucine (GO:0071233),GO:0071233,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to organonitrogen compound,response to leucine,,,
251,positive regulation of T cell cytokine production (GO:0002726),GO:0002726,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of adaptive immune response,positive regulation of leukocyte mediated immunity,regulation of T cell mediated immunity,positive regulation of T cell mediated immunity
252,glycolytic process through glucose-6-phosphate (GO:0061620),GO:0061620,cellular process,catabolic process,organic acid metabolic process,carbohydrate catabolic process,glycolytic process,glycolytic process through fructose-6-phosphate,pyruvate metabolic process,
253,negative regulation of G1/S transition of mitotic cell cycle (GO:2000134),GO:2000134,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of cell cycle,negative regulation of mitotic cell cycle,regulation of cell cycle G1/S phase transition,negative regulation of cell cycle G1/S phase transition
254,posttranscriptional gene silencing by RNA (GO:0035194),GO:0035194,biological regulation,regulation of biological process,negative regulation of biological process,regulation of macromolecule metabolic process,negative regulation of macromolecule metabolic process,negative regulation of gene expression,post-transcriptional gene silencing,
255,positive regulation of actin nucleation (GO:0051127),GO:0051127,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of actin cytoskeleton organization,regulation of cytoskeleton organization,regulation of actin nucleation,
256,regulation of cilium assembly (GO:1902017),GO:1902017,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of organelle assembly,regulation of plasma membrane bounded cell projection organization,,
257,response to nutrient levels (GO:0031667),GO:0031667,response to stimulus,response to external stimulus,response to extracellular stimulus,,,,,
258,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175),GO:1902175,biological regulation,regulation of biological process,regulation of signaling,regulation of cell communication,regulation of response to oxidative stress,regulation of apoptotic process,,
259,regulation of interferon-alpha production (GO:0032647),GO:0032647,biological regulation,regulation of biological process,regulation of metabolic process,regulation of macromolecule metabolic process,regulation of gene expression,,,
260,regulation of vascular associated smooth muscle cell migration (GO:1904752),GO:1904752,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell motility,regulation of cell migration,regulation of smooth muscle cell migration,,
261,positive regulation of cell projection organization (GO:0031346),GO:0031346,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of cell projection organization,,,
262,ribosome disassembly (GO:0032790),GO:0032790,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle disassembly,,,
263,receptor localization to synapse (GO:0097120),GO:0097120,localization,protein-containing complex localization,,,,,,
264,Rho protein signal transduction (GO:0007266),GO:0007266,biological regulation,regulation of biological process,intracellular signal transduction,small GTPase mediated signal transduction,Ras protein signal transduction,,,
265,DNA replication-independent nucleosome assembly (GO:0006336),GO:0006336,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,,,
266,positive regulation of endopeptidase activity (GO:0010950),GO:0010950,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of metabolic process,regulation of protein metabolic process,regulation of proteolysis,positive regulation of proteolysis,
267,motor neuron axon guidance (GO:0008045),GO:0008045,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,neuron projection guidance,axon guidance
268,protein localization to endosome (GO:0036010),GO:0036010,cellular process,cellular localization,cellular macromolecule localization,protein localization,protein localization to organelle,,,
269,negative regulation of response to wounding (GO:1903035),GO:1903035,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of response to stimulus,regulation of response to wounding,,,
270,regulation of calcium ion transmembrane transporter activity (GO:1901019),GO:1901019,biological regulation,regulation of biological process,regulation of transporter activity,regulation of transmembrane transport,regulation of monoatomic ion transmembrane transport,regulation of monoatomic cation transmembrane transport,regulation of calcium ion transmembrane transport,
271,DNA dealkylation involved in DNA repair (GO:0006307),GO:0006307,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,DNA dealkylation,,
272,organonitrogen compound catabolic process (GO:1901565),GO:1901565,metabolic process,catabolic process,organic substance catabolic process,,,,,
273,modification-dependent macromolecule catabolic process (GO:0043632),GO:0043632,metabolic process,catabolic process,organic substance catabolic process,macromolecule catabolic process,,,,
274,regulation of short-term neuronal synaptic plasticity (GO:0048172),GO:0048172,biological regulation,regulation of biological process,regulation of synaptic plasticity,regulation of neuronal synaptic plasticity,modulation of chemical synaptic transmission,,,
275,histone H3 deacetylation (GO:0070932),GO:0070932,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,histone modification,histone deacetylation,,
276,amyloid precursor protein metabolic process (GO:0042982),GO:0042982,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,,,,,
277,response to ethanol (GO:0045471),GO:0045471,response to stimulus,response to chemical,response to organic substance,response to alcohol,,,,
278,positive regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903071),GO:1903071,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of ubiquitin-dependent protein catabolic process,regulation of proteasomal ubiquitin-dependent protein catabolic process,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,positive regulation of proteolysis involved in protein catabolic process
279,positive regulation of nitric oxide metabolic process (GO:1904407),GO:1904407,biological regulation,regulation of biological process,regulation of metabolic process,regulation of nitrogen compound metabolic process,positive regulation of nitrogen compound metabolic process,,,
280,positive regulation of helicase activity (GO:0051096),GO:0051096,biological regulation,regulation of molecular function,positive regulation of molecular function,regulation of helicase activity,,,,
281,establishment of endothelial barrier (GO:0061028),GO:0061028,developmental process,anatomical structure development,cell development,epithelial cell development,endothelial cell development,,,
282,regulation of microtubule polymerization (GO:0031113),GO:0031113,biological regulation,regulation of biological process,regulation of cellular process,regulation of microtubule-based process,regulation of protein-containing complex assembly,regulation of microtubule polymerization or depolymerization,,
283,organelle fusion (GO:0048284),GO:0048284,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,,,,
284,positive regulation of glial cell differentiation (GO:0045687),GO:0045687,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell differentiation,regulation of cell development,positive regulation of cell development,regulation of gliogenesis,
285,positive regulation of dendrite extension (GO:1903861),GO:1903861,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell growth,regulation of cell morphogenesis,,,
286,positive regulation of carbohydrate metabolic process (GO:0045913),GO:0045913,biological regulation,regulation of biological process,positive regulation of biological process,regulation of primary metabolic process,regulation of carbohydrate metabolic process,,,
287,detection of calcium ion (GO:0005513),GO:0005513,response to stimulus,response to chemical,response to inorganic substance,response to metal ion,,,,
288,regulation of dephosphorylation (GO:0035303),GO:0035303,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of phosphorus metabolic process,regulation of phosphate metabolic process,,
289,regulation of viral release from host cell (GO:1902186),GO:1902186,,,,,,,,
290,regulation of JUN kinase activity (GO:0043506),GO:0043506,biological regulation,regulation of biological process,regulation of catalytic activity,regulation of cellular metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein phosphorylation,regulation of MAP kinase activity
291,"regulation of DNA-templated transcription, initiation (GO:2000142)",GO:2000142,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of RNA biosynthetic process,regulation of nucleic acid-templated transcription,
292,regulation of establishment of cell polarity (GO:2000114),GO:2000114,biological regulation,regulation of biological process,regulation of cellular process,regulation of establishment or maintenance of cell polarity,,,,
293,cotranslational protein targeting to membrane (GO:0006613),GO:0006613,cellular process,cellular localization,localization within membrane,protein localization to membrane,protein targeting,,,
294,positive regulation of synaptic transmission (GO:0050806),GO:0050806,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,positive regulation of cell communication,,,
295,regulation of ubiquitin-protein transferase activity (GO:0051438),GO:0051438,biological regulation,regulation of molecular function,regulation of catalytic activity,regulation of transferase activity,,,,
296,positive regulation of substrate adhesion-dependent cell spreading (GO:1900026),GO:1900026,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell adhesion,positive regulation of cell adhesion,positive regulation of cell-substrate adhesion,,
297,ncRNA transcription (GO:0098781),GO:0098781,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,nucleic acid-templated transcription,DNA-templated transcription,
298,negative regulation of G-protein coupled receptor protein signaling pathway (GO:0045744),GO:0045744,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,regulation of G protein-coupled receptor signaling pathway,,,
299,connective tissue development (GO:0061448),GO:0061448,developmental process,anatomical structure development,tissue development,,,,,
300,rRNA transcription (GO:0009303),GO:0009303,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,ncRNA metabolic process,DNA-templated transcription,ncRNA transcription
301,clathrin-dependent endocytosis (GO:0072583),GO:0072583,localization,establishment of localization,transport,vesicle-mediated transport,endocytosis,receptor-mediated endocytosis,,
302,regulation of neurotransmitter receptor activity (GO:0099601),GO:0099601,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
303,regulation of T cell cytokine production (GO:0002724),GO:0002724,biological regulation,regulation of biological process,regulation of immune system process,regulation of macromolecule metabolic process,regulation of adaptive immune response,regulation of lymphocyte mediated immunity,regulation of T cell mediated immunity,
304,regulation of myelination (GO:0031641),GO:0031641,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of multicellular organismal development,regulation of nervous system development,,,
305,glucan biosynthetic process (GO:0009250),GO:0009250,metabolic process,biosynthetic process,macromolecule metabolic process,macromolecule biosynthetic process,polysaccharide biosynthetic process,,,
306,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740),GO:1900740,cellular process,regulation of biological process,regulation of membrane permeability,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,regulation of establishment of protein localization to mitochondrion,
307,mesoderm formation (GO:0001707),GO:0001707,developmental process,anatomical structure formation involved in morphogenesis,formation of primary germ layer,,,,,
308,cAMP biosynthetic process (GO:0006171),GO:0006171,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,organophosphate biosynthetic process,nucleoside phosphate biosynthetic process,purine ribonucleotide metabolic process,cyclic nucleotide biosynthetic process,
309,regulation of mitochondrial membrane permeability (GO:0046902),GO:0046902,biological regulation,cellular component organization or biogenesis,regulation of membrane permeability,organelle organization,mitochondrion organization,,,
310,regulation of sodium ion transport (GO:0002028),GO:0002028,biological regulation,regulation of biological process,regulation of localization,regulation of transport,regulation of monoatomic ion transport,regulation of metal ion transport,,
311,regulation of amyloid precursor protein catabolic process (GO:1902991),GO:1902991,biological regulation,regulation of biological process,regulation of metabolic process,regulation of primary metabolic process,regulation of protein metabolic process,,,
312,regulation of vacuole organization (GO:0044088),GO:0044088,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,,,
313,regulation of dendrite extension (GO:1903859),GO:1903859,biological regulation,regulation of biological process,regulation of growth,regulation of cell growth,regulation of cell morphogenesis,,,
314,regulation of mitotic metaphase/anaphase transition (GO:0030071),GO:0030071,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell cycle,regulation of mitotic cell cycle,regulation of chromosome segregation,regulation of sister chromatid segregation,
315,bile acid and bile salt transport (GO:0015721),GO:0015721,localization,establishment of localization,transport,organic substance transport,organic hydroxy compound transport,carboxylic acid transport,monocarboxylic acid transport,
316,platelet aggregation (GO:0070527),GO:0070527,cellular process,cell adhesion,cell-cell adhesion,homotypic cell-cell adhesion,,,,
317,semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287),GO:1902287,biological regulation,regulation of biological process,cell surface receptor signaling pathway,semaphorin-plexin signaling pathway,semaphorin-plexin signaling pathway involved in neuron projection guidance,,,
318,regulation of dendrite development (GO:0050773),GO:0050773,biological regulation,regulation of biological process,regulation of developmental process,regulation of cellular component organization,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
319,cytoplasmic sequestering of transcription factor (GO:0042994),GO:0042994,localization,regulation of biological process,regulation of DNA-binding transcription factor activity,regulation of cellular metabolic process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,regulation of nucleic acid-templated transcription,
320,negative regulation of protein tyrosine kinase activity (GO:0061099),GO:0061099,biological regulation,regulation of biological process,regulation of metabolic process,negative regulation of cellular process,regulation of kinase activity,negative regulation of protein metabolic process,negative regulation of protein kinase activity,regulation of peptidyl-tyrosine phosphorylation
321,viral gene expression (GO:0019080),GO:0019080,viral process,,,,,,,
